table_name,relkind,owner,rls_enabled,force_rls,policy_count
awcms_abac_decision_logs,r,awcms_vg01_owner,t,t,1
awcms_abac_policies,r,awcms_vg01_owner,t,t,1
awcms_access_assignments,r,awcms_vg01_owner,t,t,1
awcms_access_policies,r,awcms_vg01_owner,t,t,1
awcms_access_policy_events,r,awcms_vg01_owner,t,t,1
awcms_audit_events,r,awcms_vg01_owner,t,t,1
awcms_auth_providers,r,awcms_vg01_owner,t,t,1
awcms_bff_clients,r,awcms_vg01_owner,t,t,1
awcms_blog_ad_placements,r,awcms_vg01_owner,t,t,1
awcms_blog_ads,r,awcms_vg01_owner,t,t,1
awcms_blog_institutions,r,awcms_vg01_owner,t,t,1
awcms_blog_internal_tag_link_settings,r,awcms_vg01_owner,t,t,1
awcms_blog_menu_items,r,awcms_vg01_owner,t,t,1
awcms_blog_menus,r,awcms_vg01_owner,t,t,1
awcms_blog_pages,r,awcms_vg01_owner,t,t,1
awcms_blog_post_institutions,r,awcms_vg01_owner,t,t,1
awcms_blog_post_terms,r,awcms_vg01_owner,t,t,1
awcms_blog_posts,r,awcms_vg01_owner,t,t,1
awcms_blog_redirects,r,awcms_vg01_owner,t,t,1
awcms_blog_revisions,r,awcms_vg01_owner,t,t,1
awcms_blog_settings,r,awcms_vg01_owner,t,t,1
awcms_blog_templates,r,awcms_vg01_owner,t,t,1
awcms_blog_terms,r,awcms_vg01_owner,t,t,1
awcms_blog_theme_settings,r,awcms_vg01_owner,t,t,1
awcms_blog_widgets,r,awcms_vg01_owner,t,t,1
awcms_business_scope_assignment_events,r,awcms_vg01_owner,t,t,1
awcms_business_scope_assignments,r,awcms_vg01_owner,t,t,1
awcms_comments_abuse_events,r,awcms_vg01_owner,t,t,1
awcms_comments_comments,r,awcms_vg01_owner,t,t,1
awcms_comments_moderation_events,r,awcms_vg01_owner,t,t,1
awcms_comments_reply_subscriptions,r,awcms_vg01_owner,t,t,1
awcms_comments_reports,r,awcms_vg01_owner,t,t,1
awcms_comments_settings,r,awcms_vg01_owner,t,t,1
awcms_comments_threads,r,awcms_vg01_owner,t,t,1
awcms_data_lifecycle_archive_manifests,r,awcms_vg01_owner,t,t,1
awcms_data_lifecycle_cursors,r,awcms_vg01_owner,t,t,1
awcms_data_lifecycle_legal_holds,r,awcms_vg01_owner,t,t,1
awcms_data_lifecycle_runs,r,awcms_vg01_owner,t,t,1
awcms_delegated_access_grants,r,awcms_vg01_owner,t,t,3
awcms_domain_event_activity_daily,r,awcms_vg01_owner,t,t,1
awcms_domain_event_consumer_effects,r,awcms_vg01_owner,t,t,1
awcms_domain_event_consumer_state,r,awcms_vg01_owner,t,t,1
awcms_domain_event_deliveries,r,awcms_vg01_owner,t,t,1
awcms_domain_event_replays,r,awcms_vg01_owner,t,t,1
awcms_domain_events,r,awcms_vg01_owner,t,t,1
awcms_edge_cache_purges,r,awcms_vg01_owner,t,t,1
awcms_email_delivery_attempts,r,awcms_vg01_owner,t,t,1
awcms_email_messages,r,awcms_vg01_owner,t,t,1
awcms_email_suppression_list,r,awcms_vg01_owner,t,t,1
awcms_email_templates,r,awcms_vg01_owner,t,t,1
awcms_entitlements,r,awcms_vg01_owner,f,f,0
awcms_external_identities,r,awcms_vg01_owner,t,t,1
awcms_form_drafts,r,awcms_vg01_owner,t,t,1
awcms_idempotency_keys,r,awcms_vg01_owner,t,t,1
awcms_identities,r,awcms_vg01_owner,t,t,1
awcms_identity_mfa_factors,r,awcms_vg01_owner,t,t,1
awcms_identity_mfa_recovery_codes,r,awcms_vg01_owner,t,t,1
awcms_idn_admin_regions,r,awcms_vg01_owner,f,f,0
awcms_idn_region_datasets,r,awcms_vg01_owner,f,f,0
awcms_invitation_policies,r,awcms_vg01_owner,t,t,1
awcms_invitations,r,awcms_vg01_owner,t,t,1
awcms_machine_credentials,r,awcms_vg01_owner,t,t,1
awcms_media_library_tenant_state,r,awcms_vg01_owner,t,t,1
awcms_mfa_challenges,r,awcms_vg01_owner,t,t,1
awcms_module_dependencies,r,awcms_vg01_owner,f,f,0
awcms_module_health_checks,r,awcms_vg01_owner,f,f,0
awcms_module_jobs,r,awcms_vg01_owner,f,f,0
awcms_module_navigation,r,awcms_vg01_owner,f,f,0
awcms_module_settings,r,awcms_vg01_owner,t,t,1
awcms_modules,r,awcms_vg01_owner,f,f,0
awcms_news_media_objects,r,awcms_vg01_owner,t,t,1
awcms_news_portal_ad_placements,r,awcms_vg01_owner,t,t,1
awcms_news_portal_homepage_sections,r,awcms_vg01_owner,t,t,1
awcms_newsletter_subscribers,r,awcms_vg01_owner,t,t,1
awcms_object_sync_queue,r,awcms_vg01_owner,t,t,1
awcms_offices,r,awcms_vg01_owner,t,t,1
